iter	Passed	Remaining
564	1376	1059
565	1378	1057
566	1381	1054
567	1383	1052
568	1386	1049
569	1388	1047
570	1391	1045
571	1393	1042
572	1396	1040
573	1398	1037
574	1400	1035
575	1403	1033
576	1405	1030
577	1408	1028
578	1410	1025
579	1413	1023
580	1416	1021
581	1418	1018
582	1421	1016
583	1423	1014
584	1426	1011
585	1429	1009
586	1431	1007
587	1433	1004
588	1436	1002
589	1438	999
590	1441	997
591	1444	995
592	1446	992
593	1449	990
594	1451	988
595	1454	985
596	1456	983
597	1459	981
598	1461	978
599	1464	976
600	1467	974
601	1470	971
602	1472	969
603	1475	967
604	1477	964
605	1480	962
606	1482	960
607	1485	957
608	1488	955
609	1490	953
610	1493	950
611	1495	948
612	1498	945
613	1500	943
614	1502	940
615	1505	938
616	1507	936
617	1510	933
618	1513	931
619	1515	928
620	1517	926
621	1520	923
622	1522	921
623	1525	919
624	1527	916
625	1530	914
626	1532	911
627	1534	909
628	1537	906
629	1540	904
630	1542	902
631	1545	899
632	1547	897
633	1549	894
634	1552	892
635	1554	889
636	1557	887
637	1559	885
638	1562	882
639	1564	880
640	1567	877
641	1569	875
642	1572	872
643	1574	870
644	1577	867
645	1579	865
646	1581	863
647	1584	860
648	1587	858
649	1589	855
650	1591	853
651	1594	850
652	1596	848
653	1599	846
654	1601	843
655	1604	841
656	1606	838
657	1608	836
658	1611	833
659	1613	831
660	1615	828
661	1618	826
662	1620	823
663	1623	821
664	1625	819
665	1628	816
666	1630	814
667	1633	811
668	1635	809
669	1638	806
670	1640	804
671	1642	801
672	1645	799
673	1647	797
674	1650	794
675	1652	792
676	1654	789
677	1657	787
678	1659	784
679	1662	782
680	1664	779
681	1666	777
682	1669	774
683	1671	772
684	1673	769
685	1676	767
686	1678	764
687	1681	762
688	1684	760
689	1686	757
690	1688	755
691	1691	752
692	1694	750
693	1696	748
694	1699	745
695	1702	743
696	1704	741
697	1707	738
698	1709	736
699	1711	733
700	1714	731
701	1717	728
702	1720	726
703	1722	724
704	1724	721
705	1727	719
706	1729	716
707	1732	714
708	1734	712
709	1737	709
710	1739	707
711	1742	704
712	1744	702
713	1747	699
714	1749	697
715	1752	694
716	1754	692
717	1757	690
718	1759	687
719	1761	685
720	1764	682
721	1766	680
722	1769	677
723	1771	675
724	1774	673
725	1776	670
726	1779	668
727	1781	665
728	1784	663
729	1786	660
730	1788	658
731	1791	655
732	1793	653
733	1796	650
734	1798	648
735	1800	645
736	1803	643
737	1805	641
738	1808	638
739	1810	636
740	1813	633
741	1815	631
742	1818	628
743	1820	626
744	1822	623
745	1825	621
746	1828	619
747	1830	616
748	1832	614
749	1835	611
750	1837	609
751	1840	606
752	1842	604
753	1845	602
754	1847	599
755	1850	597
756	1852	594
757	1855	592
758	1857	589
759	1859	587
760	1862	584
761	1864	582
762	1867	580
763	1870	577
764	1872	575
765	1875	572
766	1877	570
767	1880	568
768	1882	565
769	1885	563
770	1887	560
771	1890	558
772	1892	555
773	1895	553
774	1898	551
775	1900	548
776	1903	546
777	1905	543
778	1907	541
779	1910	538
780	1912	536
781	1915	533
782	1917	531
783	1920	528
784	1922	526
785	1924	524
786	1927	521
787	1929	519
788	1932	516
789	1934	514
790	1937	511
791	1939	509
792	1942	507
793	1944	504
794	1947	502
795	1949	499
796	1952	497
797	1954	494
798	1957	492
799	1959	489
800	1962	487
801	1964	485
802	1967	482
803	1969	480
804	1971	477
805	1974	475
806	1976	472
807	1979	470
808	1981	467
809	1984	465
810	1986	462
811	1988	460
812	1991	458
813	1993	455
814	1996	453
815	1998	450
816	2001	448
817	2003	445
818	2005	443
819	2008	440
820	2010	438
821	2013	435
822	2016	433
823	2020	431
824	2023	429
825	2026	426
826	2029	424
827	2032	422
828	2036	419
829	2039	417
830	2041	415
831	2044	412
832	2046	410
833	2049	407
834	2052	405
835	2054	403
836	2057	400
837	2060	398
838	2062	395
839	2065	393
840	2067	390
841	2070	388
842	2072	386
843	2075	383
844	2077	381
845	2080	378
846	2083	376
847	2085	373
848	2087	371
849	2090	368
850	2092	366
851	2095	363
852	2097	361
853	2100	359
854	2102	356
855	2104	354
856	2107	351
857	2109	349
858	2112	346
859	2114	344
860	2116	341
861	2119	339
862	2121	336
863	2123	334
864	2126	331
865	2128	329
866	2131	326
867	2133	324
868	2136	322
869	2139	319
870	2141	317
871	2144	314
872	2147	312
873	2149	309
874	2152	307
875	2155	305
876	2157	302
877	2160	300
878	2162	297
879	2165	295
880	2168	292
881	2170	290
882	2173	287
883	2176	285
884	2178	283
885	2181	280
886	2183	278
887	2186	275
888	2189	273
889	2192	270
890	2195	268
891	2197	266
892	2200	263
893	2202	261
894	2205	258
895	2208	256
896	2211	253
897	2214	251
898	2217	249
899	2220	246
900	2222	244
901	2225	241
902	2228	239
903	2230	236
904	2233	234
905	2235	231
906	2238	229
907	2241	227
908	2243	224
909	2246	222
910	2249	219
911	2251	217
912	2254	214
913	2256	212
914	2259	209
915	2261	207
916	2263	204
917	2266	202
918	2268	199
919	2271	197
920	2273	195
921	2276	192
922	2278	190
923	2281	187
924	2283	185
925	2286	182
926	2288	180
927	2290	177
928	2293	175
929	2295	172
930	2298	170
931	2300	167
932	2303	165
933	2305	162
934	2308	160
935	2310	157
936	2313	155
937	2315	153
938	2318	150
939	2320	148
940	2323	145
941	2325	143
942	2327	140
943	2330	138
944	2333	135
945	2335	133
946	2338	130
947	2340	128
948	2343	125
949	2345	123
950	2347	120
951	2350	118
952	2352	116
953	2355	113
954	2357	111
955	2360	108
956	2362	106
957	2364	103
958	2367	101
959	2369	98
960	2372	96
961	2374	93
962	2376	91
963	2379	88
964	2381	86
965	2384	83
966	2386	81
967	2388	78
968	2391	76
969	2393	74
970	2396	71
971	2398	69
972	2401	66
973	2403	64
974	2406	61
975	2408	59
976	2411	56
977	2413	54
978	2416	51
979	2419	49
980	2421	46
981	2424	44
982	2426	41
983	2429	39
984	2432	37
985	2434	34
986	2437	32
987	2439	29
988	2442	27
989	2444	24
990	2446	22
991	2449	19
992	2451	17
993	2454	14
994	2456	12
995	2459	9
996	2462	7
997	2464	4
998	2466	2
999	2469	0
