iter	RMSE
505	4.039497982
506	4.038112893
507	4.036657882
508	4.035652653
509	4.03409436
510	4.032694641
511	4.03060403
512	4.029560028
513	4.027861449
514	4.027061987
515	4.025470064
516	4.024343403
517	4.023446834
518	4.022312883
519	4.020861916
520	4.019148217
521	4.016986967
522	4.015317903
523	4.014280909
524	4.013155442
525	4.012120894
526	4.011323763
527	4.010272896
528	4.009536767
529	4.00780437
530	4.006362934
531	4.005362277
532	4.003485587
533	4.001429556
534	4.000378814
535	3.998646942
536	3.997018499
537	3.995891862
538	3.994865263
539	3.993971677
540	3.993040893
541	3.991471218
542	3.989926389
543	3.988283455
544	3.986654846
545	3.985076264
546	3.985044408
547	3.983958782
548	3.982204198
549	3.981338088
550	3.980253988
551	3.9788211
552	3.97749645
553	3.976779696
554	3.975914826
555	3.974742776
556	3.973051453
557	3.971175699
558	3.970180924
559	3.969585994
560	3.968581198
561	3.967880523
562	3.966636619
563	3.965706366
564	3.964048145
565	3.962235613
566	3.961308833
567	3.959736309
568	3.958977976
569	3.958198281
570	3.95740301
571	3.956137221
572	3.954260492
573	3.952485645
574	3.951614602
575	3.950471229
576	3.94976296
577	3.948874107
578	3.947886705
579	3.946624438
580	3.945891843
581	3.944590627
582	3.944173434
583	3.943094984
584	3.941736604
585	3.940228295
586	3.938820553
587	3.938545911
588	3.93716604
589	3.936061477
590	3.935271759
591	3.934295676
592	3.933056195
593	3.932050075
594	3.930956197
595	3.929888328
596	3.928783774
597	3.926965553
598	3.926706812
599	3.925893094
600	3.925266966
601	3.924468783
602	3.923709059
603	3.922321456
604	3.92229148
605	3.922265361
606	3.92136936
607	3.919863003
608	3.919321375
609	3.917635836
610	3.916224574
611	3.914495512
612	3.914442493
613	3.913028767
614	3.911907479
615	3.909962514
616	3.908607261
617	3.907317219
618	3.905758292
619	3.904791682
620	3.90434836
621	3.903223741
622	3.901843975
623	3.901158141
624	3.90016674
625	3.89941674
626	3.898876396
627	3.897885835
628	3.896475273
629	3.895767897
630	3.894914374
631	3.893886131
632	3.893339007
633	3.892679221
634	3.891378226
635	3.890443978
636	3.889106597
637	3.887093232
638	3.886030654
639	3.885215525
640	3.884193236
641	3.883032096
642	3.881310505
643	3.880168691
644	3.878972913
645	3.878244404
646	3.87822435
647	3.877143173
648	3.876074899
649	3.874301158
650	3.873794985
651	3.873123076
652	3.872460213
653	3.871733541
654	3.870694424
655	3.869246708
656	3.868147072
657	3.867242183
658	3.865738956
659	3.864491424
660	3.863984399
661	3.863164897
662	3.862582545
663	3.861464282
664	3.859913534
665	3.859291731
666	3.857791223
667	3.856639258
668	3.856006971
669	3.854131129
670	3.853539788
671	3.852210783
672	3.85144713
673	3.849855727
674	3.849254218
675	3.84898751
676	3.848637808
677	3.846579306
678	3.845318792
679	3.844387292
680	3.842948833
681	3.841998994
682	3.840705567
683	3.839848887
684	3.8390202
685	3.837917734
686	3.836427985
687	3.83593139
688	3.835211692
689	3.833955184
690	3.833081186
691	3.832357322
692	3.831368264
693	3.830349585
694	3.829297362
695	3.827844778
696	3.82694543
697	3.825416409
698	3.824586824
699	3.823945198
700	3.822844171
701	3.822818975
702	3.821666982
703	3.820986363
704	3.820222065
705	3.819597855
706	3.818458782
707	3.818043315
708	3.816652127
709	3.816278975
710	3.814560329
711	3.81325154
712	3.812156822
713	3.81109899
714	3.81007486
715	3.808229471
716	3.807549332
717	3.806880907
718	3.805347875
719	3.803909316
720	3.803425146
721	3.802375951
722	3.801336132
723	3.800608859
724	3.799725788
725	3.79854635
726	3.797611437
727	3.796592058
728	3.796029007
729	3.794834357
730	3.79404179
731	3.792726557
732	3.792703667
733	3.79166772
734	3.791653028
735	3.791125738
736	3.790192167
737	3.789522385
738	3.78829474
739	3.787397667
740	3.787038159
741	3.786074827
742	3.784894286
743	3.784205898
744	3.782802915
745	3.781203244
746	3.779878909
747	3.779861126
748	3.779417478
749	3.77884363
750	3.778216922
751	3.777094862
752	3.776552954
753	3.775816627
754	3.774727705
755	3.773738854
756	3.772749899
757	3.771801434
758	3.771131868
759	3.770558745
760	3.77054493
761	3.769153441
762	3.768289188
763	3.767790182
764	3.766835045
765	3.765816857
766	3.764222738
767	3.762793422
768	3.76169227
769	3.760529466
770	3.760038586
771	3.759232042
772	3.758606541
773	3.757431245
774	3.756767497
775	3.756189377
776	3.755752448
777	3.754651284
778	3.753483926
779	3.752799953
780	3.751365467
781	3.750559114
782	3.749724173
783	3.747924145
784	3.747202599
785	3.746095911
786	3.744825809
787	3.744229676
788	3.742857542
789	3.742295983
790	3.741332323
791	3.739976456
792	3.739173242
793	3.737694652
794	3.737001535
795	3.735811772
796	3.734984727
797	3.733614287
798	3.733341458
799	3.732681416
800	3.731765036
801	3.730618257
802	3.73002846
803	3.728839954
804	3.728080672
805	3.726978392
806	3.726022888
807	3.724687738
808	3.723779709
809	3.722867157
810	3.721800653
811	3.720762309
812	3.719832435
813	3.719304206
814	3.718648333
815	3.717901786
816	3.717458499
817	3.71700556
818	3.716002577
819	3.715982134
820	3.715028363
821	3.71408715
822	3.713019004
823	3.712156623
824	3.711549299
825	3.711291117
826	3.709989018
827	3.709473489
828	3.708564982
829	3.707723874
830	3.706854076
831	3.706439575
832	3.706417827
833	3.705298335
834	3.704397996
835	3.703401684
836	3.702562208
837	3.701609338
838	3.700664847
839	3.699932833
840	3.699350374
841	3.698260252
842	3.697481555
843	3.696444419
844	3.696024256
845	3.69502159
846	3.694024666
847	3.692749028
848	3.692075752
849	3.690926469
850	3.690434313
851	3.688922342
852	3.687945635
853	3.687457749
854	3.686950273
855	3.686391149
856	3.685897769
857	3.685033658
858	3.684126241
859	3.683699336
860	3.682911822
861	3.68252616
862	3.681988205
863	3.681058103
864	3.680060204
865	3.679313422
866	3.678566108
867	3.677570771
868	3.676868485
869	3.676364227
870	3.676235487
871	3.676025387
872	3.675144013
873	3.674252298
874	3.673400413
875	3.672670434
876	3.671690362
877	3.671664553
878	3.671104028
879	3.670522248
880	3.670026997
881	3.66908364
882	3.668056369
883	3.667223376
884	3.667211682
885	3.66720416
886	3.666067403
887	3.664836218
888	3.66385481
889	3.663416906
890	3.662448758
891	3.662432456
892	3.661374623
893	3.6609257
894	3.660009605
895	3.659223113
896	3.657901457
897	3.656320449
898	3.656309132
899	3.65532467
900	3.654866169
901	3.653910063
902	3.653160069
903	3.652303731
904	3.651165715
905	3.649838628
906	3.649047116
907	3.648291191
908	3.647273371
909	3.646367011
910	3.645976232
911	3.64522524
912	3.643818575
913	3.642845763
914	3.641962847
915	3.641612694
916	3.641142005
917	3.640120888
918	3.639444885
919	3.638840383
920	3.638080048
921	3.637294942
922	3.636492805
923	3.635763734
924	3.635751484
925	3.634599065
926	3.634211086
927	3.6336557
928	3.632865623
929	3.632826746
930	3.632198424
931	3.630714731
932	3.630248315
933	3.629480544
934	3.628738186
935	3.627621088
936	3.626761557
937	3.62614919
938	3.62569604
939	3.62568617
940	3.624644771
941	3.62378362
942	3.623346592
943	3.622559782
944	3.62157404
945	3.621337646
946	3.620840786
947	3.620520367
948	3.619906781
949	3.619079885
950	3.618145405
951	3.617551688
952	3.617119884
953	3.616648864
954	3.616000629
955	3.615113968
956	3.614176024
957	3.61417163
958	3.613063906
959	3.612101011
960	3.611698447
961	3.610761439
962	3.60986965
963	3.609103776
964	3.608302429
965	3.607607246
966	3.606793376
967	3.605472051
968	3.604936507
969	3.60406237
970	3.603329309
971	3.602517401
972	3.601908331
973	3.601559556
974	3.601160144
975	3.600516905
976	3.599858224
977	3.599128724
978	3.598094663
979	3.596922748
980	3.596180313
981	3.595193989
982	3.594496046
983	3.593450369
984	3.593132512
985	3.592546817
986	3.591840932
987	3.591094669
988	3.590540456
989	3.589725749
990	3.589318499
991	3.58863916
992	3.587784676
993	3.587355721
994	3.586680525
995	3.58530285
996	3.584950617
997	3.584016608
998	3.583677226
999	3.583006001
